"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","changeNameWithIncorrectData()","","Sat Feb 14 10:04:35 UTC 2026","skipped","Sat Feb 14 10:04:35 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithIncorrectData"
"","4440","userCanCreateAccountTest()","","Sat Feb 14 10:04:35 UTC 2026","passed","Sat Feb 14 10:04:40 UTC 2026","","Iteration_1.api.CreateAccountTest","Iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","437","userCanCreateAccountTest()","","Sat Feb 14 10:04:40 UTC 2026","broken","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.ui.CreateAccountTest","Iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","2000","depositToIncorrectAcc()","","Sat Feb 14 10:04:42 UTC 2026","passed","Sat Feb 14 10:04:44 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToIncorrectAcc"
"","0","UpdateCustomerProfile()","","Sat Feb 14 10:04:39 UTC 2026","skipped","Sat Feb 14 10:04:39 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfile"
"","659","userCanGenerateAuthTokenTest()","","Sat Feb 14 10:04:41 UTC 2026","passed","Sat Feb 14 10:04:42 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","4338","tranfserValidSumm()","","Sat Feb 14 10:04:43 UTC 2026","passed","Sat Feb 14 10:04:47 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","tranfserValidSumm"
"","7102","depositWithInvalidData(double, String) [2] balance=0.0, errorValue=Invalid account or amount","","Sat Feb 14 10:04:35 UTC 2026","passed","Sat Feb 14 10:04:43 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","312","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sat Feb 14 10:04:42 UTC 2026","passed","Sat Feb 14 10:04:42 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","23","adminCanNotCreateWithInvalidDataTest()","","Sat Feb 14 10:04:40 UTC 2026","broken","Sat Feb 14 10:04:40 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanNotCreateWithInvalidDataTest"
"","476","adminCanCreateUserWithCorrectData()","","Sat Feb 14 10:04:41 UTC 2026","passed","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","499","depositInvalidValue()","","Sat Feb 14 10:04:39 UTC 2026","broken","Sat Feb 14 10:04:39 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","depositInvalidValue"
"","2429","depositWithInvalidData(double, String) [1] balance=-0.1, errorValue=Invalid account or amount","","Sat Feb 14 10:04:44 UTC 2026","passed","Sat Feb 14 10:04:46 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","3165","transferWithInvalidData(Long, Long, Double, String) [2] User1ID=6, User2ID=7, amount=0.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 10:04:44 UTC 2026","passed","Sat Feb 14 10:04:47 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","0","testTransferWithFraudCheck()","","Sat Feb 14 10:04:41 UTC 2026","skipped","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","2989","depositToForeignAcc()","","Sat Feb 14 10:04:44 UTC 2026","passed","Sat Feb 14 10:04:47 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToForeignAcc"
"","563","getAllUsersAsList()","","Sat Feb 14 10:04:39 UTC 2026","passed","Sat Feb 14 10:04:40 UTC 2026","","Iteration_2.api.GetAllUsersTest","Iteration_2.api.GetAllUsersTest","getAllUsersAsList"
"","3940","userCreateDeposit()","","Sat Feb 14 10:04:35 UTC 2026","broken","Sat Feb 14 10:04:39 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","userCreateDeposit"
"","2515","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=  , password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots, Username cannot be blank, Username must be between 3 and 15 characters]","","Sat Feb 14 10:04:40 UTC 2026","passed","Sat Feb 14 10:04:42 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","transferWithInvalidData(Double, String)","","Sat Feb 14 10:04:41 UTC 2026","skipped","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","transferWithInvalidData"
"","3936","transferWIthCorrectValue()","","Sat Feb 14 10:04:35 UTC 2026","broken","Sat Feb 14 10:04:39 UTC 2026","","Iteration_2.ui.CreateUserTransferTest","Iteration_2.ui.CreateUserTransferTest","transferWIthCorrectValue"
"","1164","transferToNonExistAcc()","","Sat Feb 14 10:04:39 UTC 2026","broken","Sat Feb 14 10:04:40 UTC 2026","","Iteration_2.ui.CreateUserTransferTest","Iteration_2.ui.CreateUserTransferTest","transferToNonExistAcc"
"","2601","depositWithInvalidData(double, String) [3] balance=5000.1, errorValue=Deposit amount exceeds the 5000 limit","","Sat Feb 14 10:04:43 UTC 2026","passed","Sat Feb 14 10:04:45 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","220","adminCanGenerateAuthTokenTest()","","Sat Feb 14 10:04:41 UTC 2026","passed","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","109","adminCanLoginWithCorrectDataTest()","","Sat Feb 14 10:04:40 UTC 2026","broken","Sat Feb 14 10:04:40 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","4119","transferWithBalanceLessTransferSumm()","","Sat Feb 14 10:04:41 UTC 2026","passed","Sat Feb 14 10:04:46 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithBalanceLessTransferSumm"
"","2256","transferWithInvalidData(Long, Long, Double, String) [1] User1ID=6, User2ID=7, amount=-0.1, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 10:04:46 UTC 2026","passed","Sat Feb 14 10:04:48 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","1","changeNameWithCorrectData()","","Sat Feb 14 10:04:35 UTC 2026","skipped","Sat Feb 14 10:04:35 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithCorrectData"
"","4378","transferWithInvalidData(Long, Long, Double, String) [3] User1ID=6, User2ID=7, amount=10000.1, errorValue=Transfer amount cannot exceed 10000","","Sat Feb 14 10:04:40 UTC 2026","passed","Sat Feb 14 10:04:44 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","4219","UsersDepositCorrectSum()","","Sat Feb 14 10:04:39 UTC 2026","passed","Sat Feb 14 10:04:44 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","UsersDepositCorrectSum"
"","48","adminCanCreateUserTest()","","Sat Feb 14 10:04:40 UTC 2026","broken","Sat Feb 14 10:04:40 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanCreateUserTest"
"","659","userCanLoginWithCorrectDataTest()","","Sat Feb 14 10:04:40 UTC 2026","broken","Sat Feb 14 10:04:41 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","0","UpdateCustomerProfileNameWithInvalidData(String)","","Sat Feb 14 10:04:39 UTC 2026","skipped","Sat Feb 14 10:04:39 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfileNameWithInvalidData"
