"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testTransferWithFraudCheck()","","Sat Feb 14 11:58:49 UTC 2026","skipped","Sat Feb 14 11:58:49 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","0","UpdateCustomerProfile()","","Sat Feb 14 11:58:48 UTC 2026","skipped","Sat Feb 14 11:58:48 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfile"
"","4090","transferWithInvalidData(Long, Long, Double, String) [1] User1ID=8, User2ID=9, amount=-0.1, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 11:58:51 UTC 2026","passed","Sat Feb 14 11:58:55 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","3306","userCreateDeposit()","","Sat Feb 14 11:58:44 UTC 2026","broken","Sat Feb 14 11:58:48 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","userCreateDeposit"
"","592","userCanLoginWithCorrectDataTest()","","Sat Feb 14 11:58:48 UTC 2026","broken","Sat Feb 14 11:58:49 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","414","adminCanCreateUserWithCorrectData()","","Sat Feb 14 11:58:49 UTC 2026","passed","Sat Feb 14 11:58:50 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","467","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=  , password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots, Username cannot be blank, Username must be between 3 and 15 characters]","","Sat Feb 14 11:58:50 UTC 2026","passed","Sat Feb 14 11:58:50 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","2036","depositToIncorrectAcc()","","Sat Feb 14 11:58:48 UTC 2026","passed","Sat Feb 14 11:58:50 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToIncorrectAcc"
"","4022","userCanCreateAccountTest()","","Sat Feb 14 11:58:44 UTC 2026","passed","Sat Feb 14 11:58:48 UTC 2026","","Iteration_1.api.CreateAccountTest","Iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","320","adminCanGenerateAuthTokenTest()","","Sat Feb 14 11:58:49 UTC 2026","passed","Sat Feb 14 11:58:49 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","1","changeNameWithCorrectData()","","Sat Feb 14 11:58:44 UTC 2026","skipped","Sat Feb 14 11:58:44 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithCorrectData"
"","753","userCanCreateAccountTest()","","Sat Feb 14 11:58:48 UTC 2026","broken","Sat Feb 14 11:58:49 UTC 2026","","Iteration_1.ui.CreateAccountTest","Iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","809","userCanGenerateAuthTokenTest()","","Sat Feb 14 11:58:49 UTC 2026","passed","Sat Feb 14 11:58:50 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
