"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3170","UsersDepositCorrectSum()","","Fri Feb 13 21:09:22 UTC 2026","passed","Fri Feb 13 21:09:25 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","UsersDepositCorrectSum"
"","2228","depositWithInvalidData(double, String) [1] balance=-0.1, errorValue=Invalid account or amount","","Fri Feb 13 21:09:25 UTC 2026","passed","Fri Feb 13 21:09:27 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","0","changeNameWithIncorrectData()","","Fri Feb 13 21:09:16 UTC 2026","skipped","Fri Feb 13 21:09:16 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithIncorrectData"
"","4948","transferWithInvalidData(Long, Long, Double, String) [3] User1ID=6, User2ID=7, amount=10000.1, errorValue=Transfer amount cannot exceed 10000","","Fri Feb 13 21:09:21 UTC 2026","passed","Fri Feb 13 21:09:26 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","285","getAllUsersAsList()","","Fri Feb 13 21:09:21 UTC 2026","passed","Fri Feb 13 21:09:21 UTC 2026","","Iteration_2.api.GetAllUsersTest","Iteration_2.api.GetAllUsersTest","getAllUsersAsList"
"","737","userCanGenerateAuthTokenTest()","","Fri Feb 13 21:09:22 UTC 2026","passed","Fri Feb 13 21:09:23 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","3","changeNameWithCorrectData()","","Fri Feb 13 21:09:16 UTC 2026","skipped","Fri Feb 13 21:09:16 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithCorrectData"
"","92","adminCanCreateUserTest()","","Fri Feb 13 21:09:21 UTC 2026","broken","Fri Feb 13 21:09:21 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanCreateUserTest"
"","4461","transferWithBalanceLessTransferSumm()","","Fri Feb 13 21:09:22 UTC 2026","passed","Fri Feb 13 21:09:27 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithBalanceLessTransferSumm"
"","3006","depositToForeignAcc()","","Fri Feb 13 21:09:25 UTC 2026","passed","Fri Feb 13 21:09:28 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToForeignAcc"
"","342","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Fri Feb 13 21:09:22 UTC 2026","passed","Fri Feb 13 21:09:23 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
