"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","UpdateCustomerProfileNameWithInvalidData(String)","","Sat Feb 14 13:30:40 UTC 2026","skipped","Sat Feb 14 13:30:40 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfileNameWithInvalidData"
"","14409","transferToNonExistAcc()","","Sat Feb 14 13:30:30 UTC 2026","passed","Sat Feb 14 13:30:45 UTC 2026","","Iteration_2.ui.CreateUserTransferTest","Iteration_2.ui.CreateUserTransferTest","transferToNonExistAcc"
"","4721","depositWithInvalidData(double, String) [1] balance=-0.1, errorValue=Invalid account or amount","","Sat Feb 14 13:30:40 UTC 2026","passed","Sat Feb 14 13:30:45 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","6568","transferWithInvalidData(Long, Long, Double, String) [2] User1ID=6, User2ID=7, amount=0.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 13:30:39 UTC 2026","passed","Sat Feb 14 13:30:45 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","7306","transferWithInvalidData(Long, Long, Double, String) [3] User1ID=6, User2ID=7, amount=10000.1, errorValue=Transfer amount cannot exceed 10000","","Sat Feb 14 13:30:31 UTC 2026","passed","Sat Feb 14 13:30:39 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","3716","transferWithInvalidData(Long, Long, Double, String) [1] User1ID=6, User2ID=7, amount=-0.1, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 13:30:44 UTC 2026","passed","Sat Feb 14 13:30:48 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","962","adminCanCreateUserWithCorrectData()","","Sat Feb 14 13:30:36 UTC 2026","passed","Sat Feb 14 13:30:37 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","2031","userCanLoginWithCorrectDataTest()","","Sat Feb 14 13:30:41 UTC 2026","passed","Sat Feb 14 13:30:43 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","4108","UsersDepositCorrectSum()","","Sat Feb 14 13:30:39 UTC 2026","passed","Sat Feb 14 13:30:43 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","UsersDepositCorrectSum"
"","1","changeNameWithCorrectData()","","Sat Feb 14 13:30:26 UTC 2026","skipped","Sat Feb 14 13:30:26 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithCorrectData"
"","3722","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=  , password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots, Username cannot be blank, Username must be between 3 and 15 characters]","","Sat Feb 14 13:30:31 UTC 2026","passed","Sat Feb 14 13:30:34 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1024","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sat Feb 14 13:30:35 UTC 2026","passed","Sat Feb 14 13:30:36 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","UpdateCustomerProfile()","","Sat Feb 14 13:30:40 UTC 2026","skipped","Sat Feb 14 13:30:40 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfile"
"","283","adminCanGenerateAuthTokenTest()","","Sat Feb 14 13:30:37 UTC 2026","passed","Sat Feb 14 13:30:37 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","15791","transferWIthCorrectValue()","","Sat Feb 14 13:30:26 UTC 2026","passed","Sat Feb 14 13:30:42 UTC 2026","","Iteration_2.ui.CreateUserTransferTest","Iteration_2.ui.CreateUserTransferTest","transferWIthCorrectValue"
"","8456","depositWithInvalidData(double, String) [2] balance=0.0, errorValue=Invalid account or amount","","Sat Feb 14 13:30:26 UTC 2026","passed","Sat Feb 14 13:30:35 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","1","testTransferWithFraudCheck()","","Sat Feb 14 13:30:39 UTC 2026","skipped","Sat Feb 14 13:30:39 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","1859","userCanGenerateAuthTokenTest()","","Sat Feb 14 13:30:37 UTC 2026","passed","Sat Feb 14 13:30:39 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","4668","userCanCreateAccountTest()","","Sat Feb 14 13:30:26 UTC 2026","passed","Sat Feb 14 13:30:31 UTC 2026","","Iteration_1.api.CreateAccountTest","Iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","7091","transferWithBalanceLessTransferSumm()","","Sat Feb 14 13:30:32 UTC 2026","passed","Sat Feb 14 13:30:39 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithBalanceLessTransferSumm"
"","463","getAllUsersAsList()","","Sat Feb 14 13:30:40 UTC 2026","passed","Sat Feb 14 13:30:40 UTC 2026","","Iteration_2.api.GetAllUsersTest","Iteration_2.api.GetAllUsersTest","getAllUsersAsList"
"","0","changeNameWithIncorrectData()","","Sat Feb 14 13:30:26 UTC 2026","skipped","Sat Feb 14 13:30:26 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithIncorrectData"
"","1230","adminCanLoginWithCorrectDataTest()","","Sat Feb 14 13:30:40 UTC 2026","passed","Sat Feb 14 13:30:41 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","5441","depositWithInvalidData(double, String) [3] balance=5000.1, errorValue=Deposit amount exceeds the 5000 limit","","Sat Feb 14 13:30:35 UTC 2026","passed","Sat Feb 14 13:30:40 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","3176","adminCanNotCreateWithInvalidDataTest()","","Sat Feb 14 13:30:45 UTC 2026","passed","Sat Feb 14 13:30:48 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanNotCreateWithInvalidDataTest"
"","9390","depositInvalidValue()","","Sat Feb 14 13:30:29 UTC 2026","passed","Sat Feb 14 13:30:39 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","depositInvalidValue"
"","13697","userCreateDeposit()","","Sat Feb 14 13:30:26 UTC 2026","passed","Sat Feb 14 13:30:40 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","userCreateDeposit"
"","5251","adminCanCreateUserTest()","","Sat Feb 14 13:30:44 UTC 2026","passed","Sat Feb 14 13:30:49 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanCreateUserTest"
"","2987","depositToForeignAcc()","","Sat Feb 14 13:30:45 UTC 2026","passed","Sat Feb 14 13:30:48 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToForeignAcc"
"","5184","userCanCreateAccountTest()","","Sat Feb 14 13:30:39 UTC 2026","passed","Sat Feb 14 13:30:44 UTC 2026","","Iteration_1.ui.CreateAccountTest","Iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","0","transferWithInvalidData(Double, String)","","Sat Feb 14 13:30:39 UTC 2026","skipped","Sat Feb 14 13:30:39 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","transferWithInvalidData"
"","7198","tranfserValidSumm()","","Sat Feb 14 13:30:39 UTC 2026","passed","Sat Feb 14 13:30:46 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","tranfserValidSumm"
"","2163","depositToIncorrectAcc()","","Sat Feb 14 13:30:43 UTC 2026","passed","Sat Feb 14 13:30:45 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToIncorrectAcc"
