"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","adminCanCreateUserTest()","","Sat Feb 14 13:26:20 UTC 2026","broken","Sat Feb 14 13:26:20 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanCreateUserTest"
"","2247","transferWithInvalidData(Long, Long, Double, String) [2] User1ID=6, User2ID=7, amount=0.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 13:26:25 UTC 2026","passed","Sat Feb 14 13:26:27 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","3038","depositToForeignAcc()","","Sat Feb 14 13:26:23 UTC 2026","passed","Sat Feb 14 13:26:26 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToForeignAcc"
"","1","changeNameWithCorrectData()","","Sat Feb 14 13:26:15 UTC 2026","skipped","Sat Feb 14 13:26:15 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithCorrectData"
"","6949","depositWithInvalidData(double, String) [2] balance=0.0, errorValue=Invalid account or amount","","Sat Feb 14 13:26:15 UTC 2026","passed","Sat Feb 14 13:26:22 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositWithInvalidData"
"","46","adminCanNotCreateWithInvalidDataTest()","","Sat Feb 14 13:26:20 UTC 2026","broken","Sat Feb 14 13:26:20 UTC 2026","","Iteration_1.ui.CreateUserTest","Iteration_1.ui.CreateUserTest","adminCanNotCreateWithInvalidDataTest"
"","0","UpdateCustomerProfile()","","Sat Feb 14 13:26:19 UTC 2026","skipped","Sat Feb 14 13:26:19 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfile"
"","3877","transferWithBalanceLessTransferSumm()","","Sat Feb 14 13:26:21 UTC 2026","passed","Sat Feb 14 13:26:25 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithBalanceLessTransferSumm"
"","412","adminCanCreateUserWithCorrectData()","","Sat Feb 14 13:26:21 UTC 2026","passed","Sat Feb 14 13:26:21 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","4654","userCanCreateAccountTest()","","Sat Feb 14 13:26:15 UTC 2026","passed","Sat Feb 14 13:26:20 UTC 2026","","Iteration_1.api.CreateAccountTest","Iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","1100","transferToNonExistAcc()","","Sat Feb 14 13:26:19 UTC 2026","broken","Sat Feb 14 13:26:20 UTC 2026","","Iteration_2.ui.CreateUserTransferTest","Iteration_2.ui.CreateUserTransferTest","transferToNonExistAcc"
"","507","depositInvalidValue()","","Sat Feb 14 13:26:19 UTC 2026","broken","Sat Feb 14 13:26:19 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","depositInvalidValue"
"","1717","depositToIncorrectAcc()","","Sat Feb 14 13:26:21 UTC 2026","passed","Sat Feb 14 13:26:23 UTC 2026","","Iteration_2.api.CreateUsersDepositTest","Iteration_2.api.CreateUsersDepositTest","depositToIncorrectAcc"
"","3730","userCreateDeposit()","","Sat Feb 14 13:26:15 UTC 2026","broken","Sat Feb 14 13:26:19 UTC 2026","","Iteration_2.ui.CreateUserDepositTest","Iteration_2.ui.CreateUserDepositTest","userCreateDeposit"
"","0","UpdateCustomerProfileNameWithInvalidData(String)","","Sat Feb 14 13:26:19 UTC 2026","skipped","Sat Feb 14 13:26:19 UTC 2026","","Iteration_2.api.ChangeNameProfileTest","Iteration_2.api.ChangeNameProfileTest","UpdateCustomerProfileNameWithInvalidData"
"","1898","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=  , password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots, Username cannot be blank, Username must be between 3 and 15 characters]","","Sat Feb 14 13:26:20 UTC 2026","passed","Sat Feb 14 13:26:22 UTC 2026","","Iteration_1.api.CreateUserTest","Iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","507","userCanGenerateAuthTokenTest()","","Sat Feb 14 13:26:21 UTC 2026","passed","Sat Feb 14 13:26:21 UTC 2026","","Iteration_1.api.LoginUserTest","Iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","2086","transferWithInvalidData(Long, Long, Double, String) [1] User1ID=6, User2ID=7, amount=-0.1, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat Feb 14 13:26:25 UTC 2026","passed","Sat Feb 14 13:26:27 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","transferWithInvalidData"
"","144","adminCanLoginWithCorrectDataTest()","","Sat Feb 14 13:26:19 UTC 2026","broken","Sat Feb 14 13:26:20 UTC 2026","","Iteration_1.ui.LoginUserTest","Iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","0","changeNameWithIncorrectData()","","Sat Feb 14 13:26:15 UTC 2026","skipped","Sat Feb 14 13:26:15 UTC 2026","","Iteration_2.ui.ChangeNameProfileTest","Iteration_2.ui.ChangeNameProfileTest","changeNameWithIncorrectData"
"","4277","tranfserValidSumm()","","Sat Feb 14 13:26:22 UTC 2026","passed","Sat Feb 14 13:26:26 UTC 2026","","Iteration_2.api.CreateUserTransfersTest","Iteration_2.api.CreateUserTransfersTest","tranfserValidSumm"
"","0","transferWithInvalidData(Double, String)","","Sat Feb 14 13:26:20 UTC 2026","skipped","Sat Feb 14 13:26:20 UTC 2026","","Iteration_1.api.TransferWithFraudCheckTest","Iteration_1.api.TransferWithFraudCheckTest","transferWithInvalidData"
"","732","userCanCreateAccountTest()","","Sat Feb 14 13:26:20 UTC 2026","broken","Sat Feb 14 13:26:21 UTC 2026","","Iteration_1.ui.CreateAccountTest","Iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
